,id_ubigeo,ubigeo_reniec,ubigeo_inei,departamento_inei,departamento,provincia_inei,provincia,distrito,region,macroregion_inei,macroregion_minsa,iso_3166_2,fips,superficie,altitud,latitud,longitud,Frontera
0,1,10101.0,10101,1,AMAZONAS,101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,154.0,2338.0,-6.2294,-77.8728,NO
1,2,10102.0,10102,1,AMAZONAS,101,CHACHAPOYAS,ASUNCION,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,26.0,2823.0,-6.0325,-77.7108,NO
2,3,10103.0,10103,1,AMAZONAS,101,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,357.0,859.0,-6.8358,-78.0197,NO
3,4,10104.0,10104,1,AMAZONAS,101,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,57.0,2143.0,-6.2556,-77.7008,NO
4,5,10105.0,10105,1,AMAZONAS,101,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,143.0,2677.0,-6.0783,-77.7375,NO
5,6,10106.0,10106,1,AMAZONAS,101,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,279.0,2803.0,-6.935,-77.8542,NO
6,7,10107.0,10107,1,AMAZONAS,101,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,181.0,3041.0,-6.1064,-77.6286,NO
7,8,10108.0,10108,1,AMAZONAS,101,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,49.0,2591.0,-6.1736,-77.8644,NO
8,9,10109.0,10109,1,AMAZONAS,101,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,380.0,2869.0,-6.4847,-77.815,NO
9,10,10110.0,10110,1,AMAZONAS,101,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,373.0,2226.0,-6.7075,-77.8039,NO
10,11,10111.0,10111,1,AMAZONAS,101,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,78.0,2681.0,-6.3078,-77.8992,NO
11,12,10112.0,10112,1,AMAZONAS,101,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,135.0,1892.0,-6.3731,-77.9017,NO
12,13,10113.0,10113,1,AMAZONAS,101,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,84.0,2210.0,-6.5944,-77.8086,NO
13,14,10114.0,10114,1,AMAZONAS,101,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,334.0,2405.0,-6.2092,-77.6692,NO
14,15,10115.0,10115,1,AMAZONAS,101,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,119.0,2421.0,-6.6181,-77.8022,NO
15,16,10116.0,10116,1,AMAZONAS,101,CHACHAPOYAS,OLLEROS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,125.0,3053.0,-6.0239,-77.6764,NO
16,17,10117.0,10117,1,AMAZONAS,101,CHACHAPOYAS,QUINJALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,92.0,3151.0,-6.0914,-77.6786,NO
17,18,10118.0,10118,1,AMAZONAS,101,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,47.0,2254.0,-6.2292,-77.74,NO
18,19,10119.0,10119,1,AMAZONAS,101,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,102.0,2339.0,-6.3372,-77.8806,NO
19,20,10120.0,10120,1,AMAZONAS,101,CHACHAPOYAS,SOLOCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,84.0,2387.0,-6.2606,-77.7442,NO
20,21,10121.0,10121,1,AMAZONAS,101,CHACHAPOYAS,SONCHE,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,113.0,2089.0,-6.2189,-77.7753,NO
21,22,10205.0,10201,1,AMAZONAS,102,BAGUA,BAGUA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,151.0,408.0,-5.6389,-78.5311,NO
22,23,10202.0,10202,1,AMAZONAS,102,BAGUA,ARAMANGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,809.0,502.0,-5.4164,-78.4378,NO
23,24,10203.0,10203,1,AMAZONAS,102,BAGUA,COPALLIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,99.0,693.0,-5.675,-78.4231,NO
24,25,10204.0,10204,1,AMAZONAS,102,BAGUA,EL PARCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,18.0,626.0,-5.625,-78.4753,NO
25,26,10206.0,10205,1,AMAZONAS,102,BAGUA,IMAZA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,4431.0,317.0,-5.1636,-78.2889,SI
26,27,10201.0,10206,1,AMAZONAS,102,BAGUA,LA PECA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,144.0,892.0,-5.6119,-78.4369,NO
27,28,10301.0,10301,1,AMAZONAS,103,BONGARA,JUMBILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,154.0,2081.0,-5.9044,-77.7978,NO
28,29,10304.0,10302,1,AMAZONAS,103,BONGARA,CHISQUILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,175.0,2057.0,-5.8975,-77.7861,NO
29,30,10305.0,10303,1,AMAZONAS,103,BONGARA,CHURUJA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,33.0,1399.0,-6.0194,-77.9519,NO
30,31,10302.0,10304,1,AMAZONAS,103,BONGARA,COROSHA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,46.0,2297.0,-5.8433,-77.8225,NO
31,32,10303.0,10305,1,AMAZONAS,103,BONGARA,CUISPES,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,111.0,1912.0,-5.9283,-77.9461,NO
32,33,10306.0,10306,1,AMAZONAS,103,BONGARA,FLORIDA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,203.0,2251.0,-5.8261,-77.9694,NO
33,34,10312.0,10307,1,AMAZONAS,103,BONGARA,JAZAN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,89.0,1342.0,-5.9414,-77.9772,NO
34,35,10307.0,10308,1,AMAZONAS,103,BONGARA,RECTA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,25.0,2166.0,-5.9178,-77.7889,NO
35,36,10308.0,10309,1,AMAZONAS,103,BONGARA,SAN CARLOS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,101.0,1942.0,-5.9661,-77.9453,NO
36,37,10309.0,10310,1,AMAZONAS,103,BONGARA,SHIPASBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,127.0,1668.0,-5.9106,-77.9806,NO
37,38,10310.0,10311,1,AMAZONAS,103,BONGARA,VALERA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,90.0,1928.0,-6.0428,-77.9192,NO
38,39,10311.0,10312,1,AMAZONAS,103,BONGARA,YAMBRASBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,1716.0,1887.0,-5.7353,-77.925,NO
39,40,10601.0,10401,1,AMAZONAS,104,CONDORCANQUI,NIEVA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,4482.0,189.0,-4.5922,-77.8644,NO
40,41,10603.0,10402,1,AMAZONAS,104,CONDORCANQUI,EL CENEPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,5458.0,253.0,-4.4556,-78.1589,SI
41,42,10602.0,10403,1,AMAZONAS,104,CONDORCANQUI,RIO SANTIAGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,8035.0,190.0,-4.0158,-77.7608,SI
42,43,10401.0,10501,1,AMAZONAS,105,LUYA,LAMUD,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,69.0,2328.0,-6.1392,-77.9522,NO
43,44,10402.0,10502,1,AMAZONAS,105,LUYA,CAMPORREDONDO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,376.0,1748.0,-6.2133,-78.32,NO
44,45,10403.0,10503,1,AMAZONAS,105,LUYA,COCABAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,356.0,2273.0,-6.6142,-78.005,NO
45,46,10404.0,10504,1,AMAZONAS,105,LUYA,COLCAMAR,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,107.0,2355.0,-6.2994,-77.9731,NO
46,47,10405.0,10505,1,AMAZONAS,105,LUYA,CONILA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,256.0,2767.0,-6.1592,-78.1419,NO
47,48,10406.0,10506,1,AMAZONAS,105,LUYA,INGUILPATA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,118.0,2380.0,-6.2394,-77.9539,NO
48,49,10407.0,10507,1,AMAZONAS,105,LUYA,LONGUITA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,58.0,2799.0,-6.4136,-77.9683,NO
49,50,10408.0,10508,1,AMAZONAS,105,LUYA,LONYA CHICO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,84.0,2329.0,-6.2297,-77.955,NO
50,51,10409.0,10509,1,AMAZONAS,105,LUYA,LUYA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,91.0,2359.0,-6.1642,-77.9442,NO
51,52,10410.0,10510,1,AMAZONAS,105,LUYA,LUYA VIEJO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,74.0,2924.0,-6.1275,-78.085,NO
52,53,10411.0,10511,1,AMAZONAS,105,LUYA,MARIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,80.0,2757.0,-6.4289,-77.9608,NO
53,54,10412.0,10512,1,AMAZONAS,105,LUYA,OCALLI,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,177.0,1757.0,-6.2353,-78.2664,NO
54,55,10413.0,10513,1,AMAZONAS,105,LUYA,OCUMAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,236.0,1898.0,-6.2825,-78.2108,NO
55,56,10414.0,10514,1,AMAZONAS,105,LUYA,PISUQUIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,307.0,2049.0,-6.4533,-78.0919,NO
56,57,10423.0,10515,1,AMAZONAS,105,LUYA,PROVIDENCIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,71.0,1784.0,-6.2972,-78.2408,NO
57,58,10415.0,10516,1,AMAZONAS,105,LUYA,SAN CRISTOBAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,33.0,2636.0,-6.1017,-77.9597,NO
58,59,10416.0,10517,1,AMAZONAS,105,LUYA,SAN FRANCISCO DEL YESO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,114.0,2404.0,-6.6469,-77.8117,NO
59,60,10417.0,10518,1,AMAZONAS,105,LUYA,SAN JERONIMO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,215.0,2498.0,-6.0597,-77.9744,NO
60,61,10418.0,10519,1,AMAZONAS,105,LUYA,SAN JUAN DE LOPECANCHA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,88.0,2164.0,-6.4964,-77.8619,NO
61,62,10419.0,10520,1,AMAZONAS,105,LUYA,SANTA CATALINA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,126.0,2574.0,-6.1136,-78.0608,NO
62,63,10420.0,10521,1,AMAZONAS,105,LUYA,SANTO TOMAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,85.0,2837.0,-6.5725,-77.8658,NO
63,64,10421.0,10522,1,AMAZONAS,105,LUYA,TINGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,103.0,1800.0,-6.3797,-77.9058,NO
64,65,10422.0,10523,1,AMAZONAS,105,LUYA,TRITA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,13.0,2888.0,-6.1519,-77.9808,NO
65,66,10501.0,10601,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,SAN NICOLAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,206.0,1616.0,-6.3953,-77.4822,NO
66,67,10503.0,10602,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,CHIRIMOTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,153.0,1663.0,-6.5231,-77.4425,NO
67,68,10502.0,10603,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,COCHAMAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,199.0,1720.0,-6.4075,-77.5853,NO
68,69,10504.0,10604,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,HUAMBO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,100.0,1731.0,-6.4311,-77.5367,NO
69,70,10505.0,10605,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,LIMABAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,318.0,1677.0,-6.4981,-77.4989,NO
70,71,10506.0,10606,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,LONGAR,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,66.0,1623.0,-6.3858,-77.5467,NO
71,72,10508.0,10607,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,176.0,1592.0,-6.3861,-77.5044,NO
72,73,10507.0,10608,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,MILPUC,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,27.0,1665.0,-6.5,-77.4364,NO
73,74,10509.0,10609,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,OMIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,175.0,1368.0,-6.4678,-77.3956,NO
74,75,10510.0,10610,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,SANTA ROSA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,34.0,1770.0,-6.4536,-77.4553,NO
75,76,10511.0,10611,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,TOTORA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,6.0,1674.0,-6.4931,-77.4717,NO
76,77,10512.0,10612,1,AMAZONAS,106,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,899.0,1504.0,-6.1508,-77.3039,NO
77,78,10701.0,10701,1,AMAZONAS,107,UTCUBAMBA,BAGUA GRANDE,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,747.0,444.0,-5.7547,-78.4428,NO
78,79,10702.0,10702,1,AMAZONAS,107,UTCUBAMBA,CAJARURO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,1746.0,469.0,-5.7364,-78.4267,NO
79,80,10703.0,10703,1,AMAZONAS,107,UTCUBAMBA,CUMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,293.0,477.0,-5.9356,-78.6636,NO
80,81,10704.0,10704,1,AMAZONAS,107,UTCUBAMBA,EL MILAGRO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,1,314.0,392.0,-5.6378,-78.5583,NO
